custody_status,marital_status,rec_supervision_level,rec_supervision_level_text,score_text,type_of_assessment,raw_score,decile_score,person_id
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,26,7,3981
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,3982
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,3983
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,3984
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,24,6,3985
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,3986
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,3987
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,3988
Pretrial Defendant,Widowed,1,Low,Medium,Risk of Failure to Appear,27,7,3989
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,3990
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,3991
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,3992
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,21,4,3993
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,20,3,3994
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,3995
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,15,1,3996
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,3997
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,3998
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,3999
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,4000
Jail Inmate,Single,1,Low,High,Risk of Failure to Appear,33,9,4001
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,24,6,4002
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4003
Jail Inmate,Unknown,1,Low,Low,Risk of Failure to Appear,16,2,4004
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4005
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,14,1,4006
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,15,1,4006
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,21,4,4007
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,27,7,4008
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4009
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4010
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,18,3,4011
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,12,1,4012
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,4013
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4014
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4015
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4016
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4017
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4017
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,24,6,4018
Jail Inmate,Widowed,1,Low,Low,Risk of Failure to Appear,15,1,4019
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,4020
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4021
Probation,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4022
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,19,3,4023
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,4024
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4025
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4026
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4027
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4028
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4029
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,4030
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4031
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,17,2,4032
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4033
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,21,4,4034
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,4035
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4036
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,17,2,4037
Jail Inmate,Single,2,Medium,High,Risk of Failure to Appear,36,10,4038
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4039
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4040
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,23,5,4041
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4042
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,4043
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,17,2,4044
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4045
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4045
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,12,1,4046
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,4047
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,24,6,4048
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,4049
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4050
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,12,1,4051
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4052
Pretrial Defendant,Significant Other,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,27,7,4053
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4054
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4055
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4056
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,4057
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4058
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4059
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,20,3,4060
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4061
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,16,2,4062
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4063
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,15,1,4064
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4065
Jail Inmate,Single,2,Medium,High,Risk of Failure to Appear,28,8,4066
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4067
Jail Inmate,Widowed,1,Low,Low,Risk of Failure to Appear,17,2,4068
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,4069
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,18,3,4070
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,4071
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,4072
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4073
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4074
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,27,7,4075
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,20,3,4076
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4077
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,4078
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4079
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,12,1,4080
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4081
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4082
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4083
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,8,4084
Jail Inmate,Divorced,1,Low,High,Risk of Failure to Appear,29,8,4085
Jail Inmate,Separated,4,High,Medium,Risk of Failure to Appear,24,6,4086
Pretrial Defendant,Single,2,Medium,Medium,Risk of Failure to Appear,23,6,4087
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4088
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,18,3,4089
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4090
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4091
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,4092
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,4093
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,20,3,4094
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4094
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,11,1,4095
Pretrial Defendant,Widowed,1,Low,Low,Risk of Failure to Appear,21,4,4096
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,16,2,4097
Pretrial Defendant,Single,1,Low,High,Risk of Failure to Appear,32,9,4098
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,11,1,4099
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4100
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4100
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,25,6,4101
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,17,2,4102
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4103
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4104
Jail Inmate,Significant Other,4,High,High,Risk of Failure to Appear,33,9,4105
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,26,7,4106
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4107
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,31,9,4108
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,33,9,4108
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,21,4,4109
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,4,4110
Jail Inmate,Divorced,3,Medium with Override Consideration,High,Risk of Failure to Appear,34,10,4111
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4112
Pretrial Defendant,Divorced,2,Medium,Low,Risk of Failure to Appear,21,4,4113
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,15,1,4114
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4115
Pretrial Defendant,Married,1,Low,Medium,Risk of Failure to Appear,25,6,4116
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4117
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,15,1,4118
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,30,8,4119
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4120
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4121
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,15,1,4122
Pretrial Defendant,Divorced,1,Low,Low,Risk of Failure to Appear,16,2,4123
Jail Inmate,Married,2,Medium,Low,Risk of Failure to Appear,18,3,4124
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,21,4,4125
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4126
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,14,1,4127
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,4128
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,22,5,4129
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4130
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4131
Pretrial Defendant,Single,2,Medium,High,Risk of Failure to Appear,40,10,4132
Pretrial Defendant,Single,4,High,Medium,Risk of Failure to Appear,22,5,4133
Pretrial Defendant,Single,4,High,Medium,Risk of Failure to Appear,22,5,4133
Pretrial Defendant,Single,4,High,Medium,Risk of Failure to Appear,22,5,4133
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,24,6,4134
Jail Inmate,Separated,2,Medium,Medium,Risk of Failure to Appear,26,7,4134
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4135
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,4135
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,4136
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,13,1,4137
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4138
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,27,6,4139
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,27,6,4139
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,13,1,4140
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,19,3,4141
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4142
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,4143
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,14,1,4144
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,16,2,4145
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4146
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,25,6,4147
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4148
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,17,2,4149
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,13,1,4150
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4151
Probation,Single,1,Low,Low,Risk of Failure to Appear,14,1,4152
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4153
Jail Inmate,Single,1,Low,High,Risk of Failure to Appear,30,8,4153
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4154
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,15,1,4155
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,15,1,4155
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,17,2,4156
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,21,4,4157
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,18,3,4158
Pretrial Defendant,Single,4,High,Low,Risk of Failure to Appear,18,3,4158
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,14,1,4159
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,4,4160
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,11,1,4161
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,29,8,4162
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4163
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4164
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,14,1,4165
Jail Inmate,Single,1,Low,High,Risk of Failure to Appear,35,10,4166
Jail Inmate,Married,1,Low,Medium,Risk of Failure to Appear,23,5,4167
Jail Inmate,Separated,1,Low,Low,Risk of Failure to Appear,21,4,4168
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,15,1,4169
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,28,8,4170
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,4171
Pretrial Defendant,Married,1,Low,Medium,Risk of Failure to Appear,25,7,4172
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,22,5,4173
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,4174
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4175
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4176
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,17,2,4177
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4178
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4179
Jail Inmate,Married,3,Medium with Override Consideration,Low,Risk of Failure to Appear,21,4,4180
Pretrial Defendant,Divorced,4,High,High,Risk of Failure to Appear,29,8,4181
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,27,7,4182
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4183
Pretrial Defendant,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,8,4184
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4185
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,13,1,4186
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,15,1,4187
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4188
Jail Inmate,Significant Other,4,High,Low,Risk of Failure to Appear,18,3,4189
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4190
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4191
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,16,2,4192
Pretrial Defendant,Separated,1,Low,Low,Risk of Failure to Appear,13,1,4193
Jail Inmate,Single,4,High,High,Risk of Failure to Appear,31,9,4194
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4195
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4196
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,19,3,4196
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,16,2,4197
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,33,9,4198
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,12,1,4199
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4200
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,12,1,4201
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,19,3,4202
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,23,5,4203
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4204
Jail Inmate,Married,1,Low,Medium,Risk of Failure to Appear,22,5,4205
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4206
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,38,10,4207
Jail Inmate,Divorced,3,Medium with Override Consideration,High,Risk of Failure to Appear,28,8,4208
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,26,7,4209
Pretrial Defendant,Single,2,Medium,Low,Risk of Failure to Appear,14,1,4210
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,12,1,4211
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,21,4,4212
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,16,2,4213
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4214
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,21,4,4215
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,17,2,4216
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,18,3,4217
Jail Inmate,Divorced,1,Low,Low,Risk of Failure to Appear,12,1,4218
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,12,1,4219
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,13,1,4220
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4221
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,16,2,4222
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,18,3,4222
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,6,4223
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,22,5,4223
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,18,3,4224
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,4225
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,4226
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4227
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4227
Jail Inmate,Significant Other,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,4228
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,16,2,4229
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,15,1,4229
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,4230
Jail Inmate,Married,1,Low,Medium,Risk of Failure to Appear,22,5,4231
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,17,2,4232
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4232
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4233
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,22,5,4234
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,27,7,4235
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,4236
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,23,5,4237
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,18,3,4238
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,20,3,4239
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4240
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4241
Jail Inmate,Divorced,1,Low,Medium,Risk of Failure to Appear,24,6,4242
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,19,3,4243
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,4244
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4245
Jail Inmate,Separated,1,Low,Medium,Risk of Failure to Appear,24,6,4246
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,20,3,4247
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,4248
Jail Inmate,Separated,2,Medium,Low,Risk of Failure to Appear,17,2,4249
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,19,3,4250
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4251
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,18,3,4252
Jail Inmate,Single,4,High,Medium,Risk of Failure to Appear,24,6,4253
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,18,3,4254
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,16,2,4255
Jail Inmate,Married,4,High,High,Risk of Failure to Appear,29,8,4256
Jail Inmate,Married,4,High,High,Risk of Failure to Appear,29,8,4256
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,20,3,4257
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,20,3,4257
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,11,1,4258
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,23,5,4259
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4260
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,16,2,4261
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,3,4262
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,15,1,4263
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4264
Jail Inmate,Single,3,Medium with Override Consideration,High,Risk of Failure to Appear,29,8,4265
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4266
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4267
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,4268
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,22,5,4269
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,19,3,4270
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,22,5,4271
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,16,2,4272
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,18,3,4273
Pretrial Defendant,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4274
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,20,3,4275
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,14,1,4276
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,26,7,4277
Jail Inmate,Married,2,Medium,High,Risk of Failure to Appear,38,10,4278
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,14,1,4279
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,24,6,4280
Jail Inmate,Significant Other,1,Low,Medium,Risk of Failure to Appear,26,7,4281
Jail Inmate,Single,2,Medium,Low,Risk of Failure to Appear,17,2,4282
Pretrial Defendant,Single,2,Medium,Medium,Risk of Failure to Appear,25,7,4283
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,4284
Jail Inmate,Single,2,Medium,Medium,Risk of Failure to Appear,26,7,4285
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4286
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4287
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,15,1,4288
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,11,1,4289
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,14,1,4290
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,16,2,4291
Jail Inmate,Significant Other,1,Low,Low,Risk of Failure to Appear,13,1,4292
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,17,2,4293
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4294
Jail Inmate,Single,1,Low,Medium,Risk of Failure to Appear,24,6,4295
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,15,1,4296
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,14,1,4297
Jail Inmate,Married,1,Low,Low,Risk of Failure to Appear,14,1,4298
Pretrial Defendant,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,25,7,4299
Pretrial Defendant,Married,1,Low,Low,Risk of Failure to Appear,11,1,4300
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,4301
Pretrial Defendant,Single,1,Low,Low,Risk of Failure to Appear,14,1,4302
Jail Inmate,Single,3,Medium with Override Consideration,Low,Risk of Failure to Appear,20,3,4303
Jail Inmate,Single,3,Medium with Override Consideration,Medium,Risk of Failure to Appear,25,6,4304
Jail Inmate,Single,1,Low,Low,Risk of Failure to Appear,13,1,4305
Jail Inmate,Single,4,High,Low,Risk of Failure to Appear,15,1,4306
