person_id,sex,race,c_charge_degree,c_charge_desc,is_recid,num_r_cases,r_charge_degree,r_charge_desc,is_violent_recid,num_vr_cases,vr_case_number,vr_charge_degree,vr_charge_desc
1328,Female,African-American,(M1),Battery,0,,,,0,,,,
1329,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,1,2,(M1),Resist/Obstruct W/O Violence,0,,,,
1330,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1331,Male,African-American,(F3),Burglary Conveyance Unoccup,1,3,(F3),Grand Theft in the 3rd Degree,0,,,,
1333,Male,African-American,(M1),Viol Injunct Domestic Violence,0,,,,0,,,,
1334,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1335,Female,Caucasian,(M2),Susp Drivers Lic 1st Offense,0,,,,0,,,,
1336,Male,Caucasian,(F3),Crim Use of Personal ID Info,1,2,(M2),Expired DL More Than 6 Months,0,,,,
1337,Male,Other,(F2),Grand Theft of the 2nd Degree,0,,,,0,,,,
1338,Male,African-American,(F3),Resist Officer w/Violence,0,,,,0,,,,
1341,Male,Native American,(M2),Assault,1,1,(F3),Possession of Cocaine,0,,,,
1342,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1343,Male,Hispanic,(F3),Burglary Conveyance Unoccup,1,3,(M2),Trespass Structure/Conveyance,0,,,,
1344,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1345,Male,Caucasian,(M1),Battery,1,4,(F3),Possession Of Alprazolam,0,,,,
1346,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1347,Female,Caucasian,(F3),Possession of Cocaine,1,2,(M1),Driving Under The Influence,0,,,,
1348,Female,African-American,(F1),arrest case no charge,0,,,,0,,,,
1349,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1350,Female,Other,(F3),Pos Cannabis W/Intent Sel/Del,0,,,,0,,,,
1351,Male,African-American,(F3),Driving While License Revoked,1,1,(M1),Battery,1,,13014307MM10A,(M1),Battery
1352,Male,Caucasian,(F3),Uttering Forged Bills,1,2,(F1),Trafficking In Cocaine 28><200,0,,,,
1353,Male,Caucasian,(F3),Burglary Conveyance Unoccup,1,1,(F3),Burglary Conveyance Unoccup,0,,,,
1354,Male,Hispanic,(M2),Expired DL More Than 6 Months,0,,,,0,,,,
1356,Female,Hispanic,(M1),Battery,0,,,,0,,,,
1357,Male,Other,(M2),Driving License Suspended,0,,,,0,,,,
1358,Male,African-American,(M1),arrest case no charge,1,1,(F2),Burglary Unoccupied Dwelling,0,,,,
1360,Male,African-American,(F2),Burglary Unoccupied Dwelling,1,1,(M2),Unlaw LicTag/Sticker Attach,1,,15004977CF10A,(F3),Felony Battery (Dom Strang)
1361,Male,African-American,(M2),Expired DL More Than 6 Months,1,1,(M2),Driving License Suspended,0,,,,
1362,Male,Hispanic,(M2),Unlaw LicTag/Sticker Attach,0,,,,0,,,,
1363,Male,Hispanic,(M1),Stalking,1,2,(M2),Operating W/O Valid License,0,,,,
1365,Male,African-American,(F3),Grand Theft (Motor Vehicle),0,,,,0,,,,
1366,Female,Caucasian,(M1),Driving Under The Influence,0,,,,0,,,,
1367,Male,African-American,(F3),Felony Driving While Lic Suspd,1,2,(F3),Possession of Cannabis,0,,,,
1368,Male,Caucasian,(M1),Battery,1,5,(M1),Refuse Submit Blood/Breath Test,1,,15010874CF10A,(F2),Agg Fleeing/Eluding High Speed
1369,Female,Caucasian,(M1),Battery,0,,,,0,,,,
1370,Female,Caucasian,(M1),DUI Property Damage/Injury,0,,,,0,,,,
1371,Male,African-American,(F3),Failure To Return Hired Vehicle,0,,,,0,,,,
1372,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1373,Male,African-American,(F3),Poss of Ethylone W/I/D/S,0,,,,0,,,,
1374,Male,African-American,(F3),Tampering With Physical Evidence,0,,,,0,,,,
1375,Male,Hispanic,(F3),Possession Burglary Tools,0,,,,0,,,,
1376,Male,Hispanic,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
1377,Male,African-American,(M2),Disorderly Conduct,1,1,(F3),Possession of Cocaine,0,,,,
1378,Male,African-American,(F3),Battery on Law Enforc Officer,0,,,,0,,,,
1379,Male,African-American,(F3),Possession of Cocaine,1,1,(M1),Trespass Other Struct/Conve,0,,,,
1380,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,2,(F2),False Ownership Info/Pawn Item,0,,,,
1381,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1382,Male,African-American,(M1),Battery,0,,,,0,,,,
1383,Male,Hispanic,(F3),Leaving the Scene of Accident,0,,,,0,,,,
1384,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
1385,Male,African-American,(M1),Battery,1,1,(M1),Burglary Dwelling Assault/Batt,1,,13017293CF10A,(M1),Burglary Dwelling Assault/Batt
1386,Male,African-American,(F3),Aggravated Assault,0,,,,0,,,,
1387,Female,Caucasian,(M1),Battery,0,,,,0,,,,
1388,Female,Caucasian,(F3),Possession of Cocaine,1,1,(M2),Operating W/O Valid License,0,,,,
1389,Male,African-American,(M1),Battery,0,,,,0,,,,
1390,Male,Caucasian,(F3),Possession Burglary Tools,0,,,,0,,,,
1393,Male,African-American,(F3),arrest case no charge,1,6,(F3),Obtain Control Substance By Fraud,0,,,,
1394,Male,Caucasian,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
1395,Male,African-American,(F3),Possession of Cocaine,1,4,(F3),Tamper With Victim,1,,14012837CF10A,(F3),Felony Battery (Dom Strang)
1396,Male,African-American,(F3),Possession of Cocaine,1,2,(F3),Poss Pyrrolidinovalerophenone,1,,14013915CF10A,(F3),Battery on Law Enforc Officer
1397,Male,African-American,(M2),Trespass Structure/Conveyance,0,,,,0,,,,
1398,Female,Other,(M1),Battery,0,,,,0,,,,
1399,Male,Caucasian,(F3),False Imprisonment,0,,,,0,,,,
1400,Male,Caucasian,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
1401,Male,African-American,(F7),Burglary Structure Armed,0,,,,0,,,,
1402,Male,African-American,(M1),Battery,0,,,,0,,,,
1403,Male,African-American,(F1),arrest case no charge,1,3,(M1),Resist/Obstruct W/O Violence,1,,13017258CF10A,(M1),Battery
1404,Male,Caucasian,(F2),Aggrav Battery w/Deadly Weapon,0,,,,0,,,,
1405,Male,Other,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1407,Male,African-American,(F3),Burglary Conveyance Unoccup,0,,,,0,,,,
1408,Male,African-American,(M1),Battery,1,1,(M2),Driving License Suspended,0,,,,
1409,Male,Caucasian,(M1),Driving Under The Influence,0,,,,0,,,,
1410,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1411,Female,Hispanic,(M1),DUI - Enhanced,0,,,,0,,,,
1412,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1413,Male,African-American,(F3),Felony Battery w/Prior Convict,0,,,,0,,,,
1414,Male,African-American,(M1),Battery,0,,,,0,,,,
1415,Male,Hispanic,(F3),Possession Of Methamphetamine,0,,,,0,,,,
1416,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
1417,Male,African-American,(M1),Viol Prot Injunc Repeat Viol,0,,,,0,,,,
1418,Male,Hispanic,(F3),Sex Offender Fail Comply W/Law,0,,,,0,,,,
1419,Female,Caucasian,(M1),Battery,0,,,,0,,,,
1420,Male,Caucasian,(F3),Poss Unlaw Issue Driver Licenc,0,,,,0,,,,
1421,Male,Caucasian,(F3),Crim Use of Personal ID Info,0,,,,0,,,,
1422,Female,Hispanic,(M1),Battery,1,1,(M2),Leave Acc/Attend Veh/More $50,0,,,,
1423,Male,Caucasian,(F3),Tamper With Witness/Victim/CI,0,,,,0,,,,
1424,Male,Caucasian,(F3),Battery Emergency Care Provide,1,1,(F2),Burglary Unoccupied Dwelling,0,,,,
1427,Male,African-American,(F3),Grand Theft (Motor Vehicle),1,1,(M1),Possess Cannabis/20 Grams Or Less,1,,15015672CF10A,(F2),Throw Deadly Missile Into Veh
1428,Male,African-American,(F3),Crim Use of Personal ID Info,0,,,,0,,,,
1429,Male,African-American,(F3),Felony Driving While Lic Suspd,1,4,(M2),DWLS/License Susp/Revoked,0,,,,
1430,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1431,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1432,Male,African-American,(F3),Grand Theft Unlawful Use CC,0,,,,0,,,,
1433,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
1435,Male,African-American,(M1),Battery,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1436,Male,African-American,(F3),arrest case no charge,1,1,(M1),Battery,1,,14015889MM10A,(M1),Battery
1437,Male,Other,(MO3),arrest case no charge,0,,,,0,,,,
1438,Female,Caucasian,(F3),Possession Of Alprazolam,0,,,,0,,,,
1439,Male,Caucasian,(F3),Pos Cannabis W/Intent Sel/Del,0,,,,0,,,,
1440,Male,African-American,(F3),Felony Battery w/Prior Convict,0,,,,0,,,,
1441,Male,African-American,(M1),Battery,1,1,(M2),Trespass Struct/Conveyance,0,,,,
1442,Female,African-American,(F7),Burglary Dwelling Armed,0,,,,0,,,,
1443,Male,African-American,(F3),Possession of Morphine,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1444,Male,African-American,(F3),Poss Pyrrolidinovalerophenone,0,,,,0,,,,
1445,Male,African-American,(F3),Possession of Cocaine,1,2,(F2),Strong Armed  Robbery,1,,13012253CF10A,(F2),Strong Armed  Robbery
1446,Male,Caucasian,(F3),Child Abuse,0,,,,0,,,,
1447,Male,Caucasian,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
1448,Male,Caucasian,(M1),Viol Injunct Domestic Violence,0,,,,0,,,,
1449,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
1450,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1451,Male,Caucasian,(F1),arrest case no charge,0,,,,0,,,,
1452,Female,Caucasian,(M1),Driving Under The Influence,1,1,(M2),Susp Drivers Lic 1st Offense,0,,,,
1454,Male,African-American,(F2),Burglary Dwelling Occupied,0,,,,0,,,,
1455,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
1456,Male,African-American,(F3),arrest case no charge,1,1,(M1),Opert With Susp DL 2nd Offens,0,,,,
1457,Male,African-American,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
1458,Male,Caucasian,(M2),Disorderly Conduct,0,,,,0,,,,
1459,Male,African-American,(F2),Aggrav Battery w/Deadly Weapon,0,,,,0,,,,
1460,Female,Hispanic,(M1),Battery,1,1,(M1),Possess Drug Paraphernalia,0,,,,
1461,Male,African-American,(F3),Pos Cannabis W/Intent Sel/Del,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1462,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1463,Male,African-American,(M1),Viol Injunct Domestic Violence,1,3,(F3),Tampering With Physical Evidence,0,,,,
1464,Female,Hispanic,(F3),Possession of Cocaine,1,1,(M1),Trespass Other Struct/Convey,1,,15006900MM10A,(M1),Battery
1465,Male,African-American,(F3),Felony Battery w/Prior Convict,0,,,,0,,,,
1466,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1467,Male,African-American,(F3),Deliver Cannabis,1,1,(F3),Driving While License Revoked,0,,,,
1469,Female,Caucasian,(F2),arrest case no charge,0,,,,0,,,,
1470,Male,African-American,(M1),Battery,1,6,(M1),Petit Theft $100- $300,1,,13010754MM10A,(M1),Battery
1473,Male,African-American,(M1),Battery,1,1,(M1),Resist/Obstruct W/O Violence,1,,15010096CF10A,(F2),Agg Battery Grt/Bod/Harm
1474,Female,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1475,Male,Hispanic,,,0,,,,0,,,,
1476,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1477,Female,Caucasian,(F3),Uttering a Forged Instrument,0,,,,0,,,,
1478,Male,Caucasian,(M2),Prowling/Loitering,0,,,,0,,,,
1479,Male,African-American,(M1),Battery,1,3,(F3),Possession of Cocaine,0,,,,
1480,Male,Caucasian,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1481,Male,African-American,(F3),Sale/Del Counterfeit Cont Subs,0,,,,0,,,,
1482,Female,African-American,(M2),Operating W/O Valid License,0,,,,0,,,,
1483,Male,African-American,(M1),arrest case no charge,0,,,,0,,,,
1484,Male,Caucasian,(F3),Felony Petit Theft,1,2,(M1),Fraudulent Use Of Credit Card,0,,,,
1485,Male,African-American,(M1),Battery,1,1,(M1),Possess Cannabis/20 Grams Or Less,1,,15012709MM10A,(M1),Battery
1486,Male,Hispanic,(F3),Burglary Structure Unoccup,0,,,,0,,,,
1487,Male,African-American,(F3),Grand Theft Dwell Property,0,,,,0,,,,
1488,Male,African-American,(M1),Battery,1,1,(M2),Fail Register Vehicle,0,,,,
1489,Male,Hispanic,(F3),Depriv LEO of Protect/Communic,0,,,,0,,,,
1490,Male,African-American,(M1),Battery,1,1,(M2),Fail Obey Driv Lic Restrictions,0,,,,
1491,Female,African-American,(F3),Introduce Contraband Into Jail,0,,,,0,,,,
1492,Male,Caucasian,(F3),Manufacture Cannabis,0,,,,0,,,,
1493,Male,Caucasian,(F2),Burglary Unoccupied Dwelling,0,,,,0,,,,
1494,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
1495,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
1496,Male,African-American,(F3),arrest case no charge,1,2,(M2),Operating W/O Valid License,1,,16002777CF10A,(F1),Burglary With Assault/battery
1497,Male,Caucasian,(F2),Burglary Dwelling Occupied,1,1,(M1),Tresspass in Struct/Convey Occupy,0,,,,
1498,Male,Caucasian,(F3),Possession Child Pornography,0,,,,0,,,,
1499,Male,African-American,(F3),arrest case no charge,1,2,(F3),Possession of Cocaine,0,,,,
1500,Female,Hispanic,(M1),Battery,0,,,,0,,,,
1501,Male,Caucasian,(M2),Lve/Scen/Acc/Veh/Prop/Damage,0,,,,0,,,,
1502,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1503,Male,Hispanic,(F3),Retail Theft $300 1st Offense,0,,,,0,,,,
1504,Male,Hispanic,(F3),arrest case no charge,0,,,,0,,,,
1505,Male,African-American,(F3),Possession Burglary Tools,1,2,(M1),Resist/Obstruct W/O Violence,0,,,,
1506,Female,Caucasian,(F1),arrest case no charge,1,1,(F3),,0,,,,
1507,Female,Other,(M1),DUI Property Damage/Injury,0,,,,0,,,,
1508,Female,African-American,(M1),Battery,0,,,,0,,,,
1509,Male,Hispanic,(F5),Sex Battery Deft 18+/Vict 11-,0,,,,0,,,,
1510,Female,Hispanic,(F3),Poss of Ethylone W/I/D/S,0,,,,0,,,,
1511,Male,African-American,(M2),Posses/Disply Susp/Revk/Frd DL,0,,,,0,,,,
1512,Male,African-American,(M2),Robbery / No Weapon,0,,,,0,,,,
1513,Male,African-American,(F2),arrest case no charge,1,1,(F2),Aggravated Battery / Pregnant,1,,14011625CF10A,(F2),Aggravated Battery / Pregnant
1514,Female,Hispanic,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1515,Male,African-American,(M1),DUI Blood Alcohol Above 0.20,0,,,,0,,,,
1516,Male,Hispanic,(F3),Driving While License Revoked,1,2,(F3),Drivg While Lic Suspd/Revk/Can,0,,,,
1517,Male,African-American,(F3),Burglary Conveyance Armed,1,4,(M2),Fail To Obey Police Officer,1,,14015078CF10A,(F2),Agg Assault Law Enforc Officer
1518,Male,Hispanic,(F2),arrest case no charge,1,1,(M1),Opert With Susp DL 2nd Offens,0,,,,
1519,Male,Caucasian,(M1),DUI - Enhanced,0,,,,0,,,,
1520,Male,Caucasian,(F3),Possession Of Alprazolam,0,,,,0,,,,
1521,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1522,Male,African-American,(M1),Battery,0,,,,0,,,,
1523,Female,Other,(M2),Crim Attempt/Solicit/Consp,0,,,,0,,,,
1524,Male,Caucasian,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
1525,Male,African-American,(F3),Fleeing or Eluding a LEO,0,,,,0,,,,
1526,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
1527,Male,African-American,(F3),Grand Theft Firearm,0,,,,0,,,,
1529,Female,African-American,(M1),Battery,1,2,(M2),Susp Drivers Lic 1st Offense,1,,15011417MM10A,(M1),Battery
1530,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1531,Male,Hispanic,(F3),arrest case no charge,1,1,(M2),Unlaw LicTag/Sticker Attach,0,,,,
1532,Male,Hispanic,(TCX),License Suspended Revoked,0,,,,0,,,,
1533,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1534,Male,African-American,(F7),Burglary Conveyance Armed,0,,,,0,,,,
1535,Male,Hispanic,(M1),Battery,1,3,(M2),Unlaw LicTag/Sticker Attach,0,,,,
1536,Male,African-American,(F3),Aggravated Assault W/dead Weap,0,,,,0,,,,
1537,Male,African-American,(M1),Battery,0,,,,0,,,,
1538,Male,Caucasian,(F3),Driving While License Revoked,0,,,,0,,,,
1540,Male,African-American,(F3),Grand Theft (Motor Vehicle),0,,,,0,,,,
1541,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
1542,Male,African-American,(M1),Battery,1,4,(F3),Grand Theft in the 3rd Degree,1,,13008151CF10A,(F3),Child Abuse
1543,Male,African-American,(M1),arrest case no charge,1,2,(F3),Possession of Cocaine,0,,,,
1544,Male,Caucasian,(F3),Fraud Obtain Food or Lodging,0,,,,0,,,,
1545,Male,African-American,(F3),Tamper With Witness/Victim/CI,0,,,,0,,,,
1546,Male,Other,(M1),Battery,0,,,,0,,,,
1547,Female,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1548,Male,African-American,(F3),Carrying Concealed Firearm,1,1,(M2),Opert With Susp DL 2nd Offens,0,,,,
1549,Male,African-American,(F3),arrest case no charge,1,2,(F3),Aggravated Assault w/Firearm,1,,14011919CF10A,(F3),Aggravated Assault w/Firearm
1550,Male,Caucasian,(F2),arrest case no charge,0,,,,0,,,,
1551,Male,Hispanic,(M1),Battery,0,,,,0,,,,
1552,Female,Other,(M1),Battery,0,,,,0,,,,
1553,Male,Hispanic,(F3),Live on Earnings of Prostitute,1,1,(M2),Driving License Suspended,0,,,,
1554,Male,Hispanic,(F1),arrest case no charge,0,,,,0,,,,
1555,Female,Caucasian,(M1),Battery,0,,,,0,,,,
1556,Male,African-American,(F3),Robbery W/Firearm,1,1,(F3),Robbery Sudd Snatch No Weapon,1,,14002766CF10A,(F3),Robbery Sudd Snatch No Weapon
1557,Female,African-American,(F3),Aggravated Assault W/Dead Weap,0,,,,0,,,,
1558,Female,African-American,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
1559,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1560,Male,Hispanic,(F1),arrest case no charge,1,1,(F2),Burglary Unoccupied Dwelling,0,,,,
1561,Male,African-American,(M1),Felony Battery (Dom Strang),0,,,,0,,,,
1562,Male,Hispanic,(F3),Unauth Poss ID Card or DL,0,,,,0,,,,
1563,Female,African-American,(F2),arrest case no charge,0,,,,0,,,,
1564,Male,African-American,(M1),Battery,0,,,,0,,,,
1565,Male,African-American,(F3),Driving While License Revoked,1,5,(M2),Expired DL More Than 6 Months,0,,,,
1566,Male,African-American,(F2),arrest case no charge,0,,,,0,,,,
1567,Male,African-American,(F3),Possession of Ethylone,0,,,,0,,,,
1568,Male,Other,(F3),Battery on Law Enforc Officer,1,2,(M1),Resist/Obstruct W/O Violence,0,,,,
1569,Female,African-American,(M1),Viol Pretrial Release Dom Viol,1,4,(M2),Unnatural/Lascivious Act,0,,,,
1570,Female,Hispanic,(F3),Possession of Cocaine,0,,,,0,,,,
1571,Male,Caucasian,(F3),Leaving the Scene of Accident,0,,,,0,,,,
1572,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1573,Male,African-American,(M2),arrest case no charge,0,,,,0,,,,
1574,Female,Caucasian,(M1),Battery,0,,,,0,,,,
1575,Male,African-American,(M2),Criminal Mischief Damage <$200,1,1,(M2),Expired DL More Than 6 Months,0,,,,
1576,Male,African-American,(M2),Prowling/Loitering,1,1,(M2),Petit Theft,0,,,,
1577,Male,African-American,(M1),Driving Under The Influence,0,,,,0,,,,
1578,Male,Caucasian,(F3),Money Launder 100K or More Dols,0,,,,0,,,,
1579,Male,Caucasian,(M1),Viol Injunct Domestic Violence,0,,,,0,,,,
1580,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1581,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1583,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1584,Male,Other,(F3),Fraudulent Use of Credit Card,0,,,,0,,,,
1585,Female,Hispanic,(M1),Battery,0,,,,0,,,,
1586,Male,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
1587,Male,Caucasian,(F2),Lewd or Lascivious Molestation,0,,,,0,,,,
1588,Male,African-American,(M2),Petit Theft,1,1,(M1),Unlaw Use False Name/Identity,0,,,,
1589,Male,Other,(F7),Burglary Conveyance Assault/Bat,0,,,,0,,,,
1590,Male,African-American,(M1),Battery,1,1,(M1),Battery,1,,15000453MM10A,(M1),Battery
1591,Female,Caucasian,(M1),Driving Under The Influence,0,,,,0,,,,
1592,Male,African-American,(F3),arrest case no charge,0,,,,0,,,,
1593,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
1594,Female,African-American,(M1),Battery,0,,,,0,,,,
1595,Male,African-American,(F3),Possession of Cocaine,1,3,(F3),Possession of Hydrocodone,0,,,,
1596,Male,African-American,(F3),Possession of Cannabis,1,1,(M1),Resist/Obstruct W/O Violence,0,,,,
1597,Male,African-American,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
1598,Male,Other,(F2),Agg Battery Grt/Bod/Harm,0,,,,0,,,,
1599,Female,Caucasian,(M2),Lve/Scen/Acc/Veh/Prop/Damage,0,,,,0,,,,
1600,Female,African-American,(F2),Criminal Attempt 2nd Deg Felon,0,,,,0,,,,
1601,Male,Caucasian,(M1),Battery,1,2,(MO3),Trespassing,0,,,,
1602,Male,African-American,(M1),Burglary Structure Unoccup,0,,,,0,,,,
1603,Female,Caucasian,(F3),Felony Battery (Dom Strang),0,,,,0,,,,
1604,Male,African-American,(M1),Battery,1,1,(M2),Driving License Suspended,0,,,,
1605,Male,Hispanic,(M1),Possess Drug Paraphernalia,0,,,,0,,,,
1606,Female,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1607,Female,African-American,(F3),Felony Driving While Lic Suspd,1,2,(F3),Driving While License Revoked,0,,,,
1608,Female,Caucasian,(MO3),arrest case no charge,1,1,(M1),Trespass Other Struct/Convey,0,,,,
1609,Female,African-American,(F3),Possession Of Alprazolam,0,,,,0,,,,
1610,Male,African-American,(F3),Tampering With Physical Evidence,0,,,,0,,,,
1611,Male,African-American,(F3),Possession of Cocaine,0,,,,0,,,,
1612,Male,African-American,(F3),Tampering With Physical Evidence,0,,,,0,,,,
1613,Male,African-American,(F3),Crim Use of Personal ID Info,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1614,Female,Asian,(F3),Possession of Cocaine,0,,,,0,,,,
1615,Female,Caucasian,(F3),Child Abuse,0,,,,0,,,,
1616,Male,Caucasian,(F3),Driving While License Revoked,0,,,,0,,,,
1617,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1618,Male,Other,(F3),Grand Theft (Motor Vehicle),0,,,,0,,,,
1619,Male,Other,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
1620,Male,Caucasian,(F3),Child Abuse,0,,,,0,,,,
1621,Female,Caucasian,(F3),Felony DUI (level 3),0,,,,0,,,,
1622,Male,African-American,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
1623,Male,African-American,(F3),Felony Battery w/Prior Convict,0,,,,0,,,,
1624,Male,African-American,(F3),arrest case no charge,1,1,(F2),Lewd/Lasc Battery Pers 12+/<16,0,,,,
1625,Male,African-American,(F3),Grand Theft in the 3rd Degree,1,1,(M2),Operating W/O Valid License,1,,14009181MM10A,(M1),Battery
1627,Female,African-American,(F3),Aggravated Assault W/dead Weap,1,2,(M1),Petit Theft $100- $300,0,,,,
1628,Male,African-American,(M2),Aggravated Assault W/Dead Weap,0,,,,0,,,,
1629,Male,African-American,(F2),Agg Battery Grt/Bod/Harm,0,,,,0,,,,
1630,Female,Caucasian,(F3),arrest case no charge,0,,,,0,,,,
1631,Male,Caucasian,(F3),Possession of Cocaine,1,1,(M1),Battery,1,,15003313MM10A,(M1),Battery
1632,Male,African-American,(F3),Possession of Cocaine,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1633,Male,African-American,(M1),Driving Under The Influence,0,,,,0,,,,
1634,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1635,Male,African-American,(F1),arrest case no charge,0,,,,0,,,,
1637,Male,African-American,(F3),Aggravated Assault W/dead Weap,0,,,,0,,,,
1638,Male,African-American,(F2),Aggrav Battery w/Deadly Weapon,1,1,(M2),Driving License Suspended,0,,,,
1639,Male,Hispanic,(F3),Burglary Conveyance Unoccup,0,,,,0,,,,
1640,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1641,Male,African-American,(F3),Felony Driving While Lic Suspd,0,,,,0,,,,
1642,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1644,Male,Hispanic,(M1),arrest case no charge,0,,,,0,,,,
1645,Female,African-American,(F3),Grand Theft in the 3rd Degree,1,1,(M2),Driving License Suspended,0,,,,
1646,Male,Hispanic,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
1647,Male,Hispanic,(F3),Pos Cannabis W/Intent Sel/Del,0,,,,0,,,,
1648,Male,Caucasian,(F3),Possession of Cocaine,0,,,,0,,,,
1649,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1650,Male,African-American,(F3),Driving While License Revoked,0,,,,0,,,,
1651,Male,African-American,(F3),Resist Officer w/Violence,1,3,(M2),Trespass Structure/Conveyance,1,,13007610CF10A,(F3),Battery on Law Enforc Officer
1652,Male,Caucasian,(F2),arrest case no charge,0,,,,0,,,,
1653,Male,Caucasian,(M1),Battery,0,,,,0,,,,
1654,Male,African-American,(F6),arrest case no charge,0,,,,0,,,,
1655,Male,African-American,(M2),Susp Drivers Lic 1st Offense,1,1,(F2),Aggravated Battery / Pregnant,1,,14002053CF10A,(F2),Aggravated Battery / Pregnant
1656,Male,Hispanic,(M1),DUI - Enhanced,0,,,,0,,,,
1657,Male,African-American,(F3),False Imprisonment,0,,,,0,,,,
1658,Female,Hispanic,(M1),DUI Level 0.15 Or Minor In Veh,0,,,,0,,,,
1659,Male,African-American,(M1),Battery,0,,,,0,,,,
1660,Male,African-American,(F3),arrest case no charge,1,4,(F3),Fraudulent Use Credit Card,1,,13003421CF10A,(F1),Robbery W/Deadly Weapon
1661,Male,Caucasian,(F3),Possession Of Heroin,0,,,,0,,,,
1662,Male,African-American,(F3),Grand Theft in the 3rd Degree,0,,,,0,,,,
1663,Female,Hispanic,(M2),Battery,0,,,,0,,,,
1664,Male,Caucasian,(M1),Opert With Susp DL 2nd Offens,0,,,,0,,,,
1665,Male,African-American,(M1),Possess Cannabis/20 Grams Or Less,0,,,,0,,,,
1666,Female,Caucasian,(F3),Aggravated Assault W/o Firearm,1,2,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1667,Male,Caucasian,(M1),Battery,1,1,(M1),Possess Cannabis/20 Grams Or Less,0,,,,
1668,Male,African-American,(M1),Battery,0,,,,0,,,,
1669,Female,Caucasian,(F3),Tampering With Physical Evidence,1,1,(M1),Unlaw Use False Name/Identity,0,,,,
